taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note
MN908947_3,B,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0215/2020|EPI_ISL_568580|2020-03-18,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0216/2020|EPI_ISL_568581|2020-03-19,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0217/2020|EPI_ISL_568582|2020-03-19,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0219/2020|EPI_ISL_568583|2020-03-19,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0220/2020|EPI_ISL_568584|2020-03-20,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0221/2020|EPI_ISL_568585|2020-03-20,B.1.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0222/2020|EPI_ISL_568586|2020-03-20,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Phuket-SQ-AS23/2020|EPI_ISL_708723|2020-03-20,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Phuket-SQ-JS21/2020|EPI_ISL_708735|2020-03-23,B.1.8,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Chonburi-SQ-KC0001/2020|EPI_ISL_708737|2020-07-25,B.1.2,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0330/2020|EPI_ISL_728561|2020-12-08,B.1.177.4,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/SamutSakhon-CONI-0334/2020|EPI_ISL_733528|2020-12-19,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/SamutSakhon-CONI-0335/2020|EPI_ISL_733529|2020-12-19,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/SamutSakhon-CONI-0336/2020|EPI_ISL_733530|2020-12-19,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/SamutSakhon-CONI-0337/2020|EPI_ISL_733531|2020-12-19,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/SamutSakhon-CONI-0338/2020|EPI_ISL_733532|2020-12-19,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/SamutSakhon-CONI-0339/2020|EPI_ISL_733533|2020-12-19,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/SamutSakhon-CONI-0340/2020|EPI_ISL_733534|2020-12-19,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/SamutSakhon-CONI-0341/2020|EPI_ISL_733535|2020-12-19,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/SamutSakhon-CONI-0342/2020|EPI_ISL_733536|2020-12-19,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0425/2021|EPI_ISL_882785|2021-01-05,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0427/2021|EPI_ISL_882786|2021-01-05,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0429/2021|EPI_ISL_882787|2021-01-05,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0430/2021|EPI_ISL_882788|2021-01-05,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0431/2021|EPI_ISL_882789|2021-01-05,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0411/2021|EPI_ISL_882792|2021-01-04,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0412/2021|EPI_ISL_882793|2021-01-04,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0413/2021|EPI_ISL_882794|2021-01-04,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/AngThong-CONI-0442/2021|EPI_ISL_882795|2021-01-04,B.1.36.16,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2010050-NST/2020|EPI_ISL_976900|2020-03-26,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2010069-NT/2020|EPI_ISL_976901|2020-03-26,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2010402-NT/2020|EPI_ISL_976902|2020-03-27,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2010568-NST/2020|EPI_ISL_976903|2020-03-28,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2010074-NT/2020|EPI_ISL_976904|2020-03-26,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2012441-NT/2020|EPI_ISL_976906|2020-04-09,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2013233-NT/2020|EPI_ISL_976908|2020-04-17,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2013359-NS/2020|EPI_ISL_976909|2020-04-19,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2106275-NT/2021|EPI_ISL_984303|2021-02-04,B.1.1.7,,,B.1.1.7-like,0.739100,0.130400,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,scorpio call: Alt alleles 17; Ref alleles 3; Amb alleles 3
hCoV-19/Thailand/CU-SI2106276-NT/2021|EPI_ISL_984304|2021-02-04,B.1.1.7,,,B.1.1.7-like,0.739100,0.130400,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,scorpio call: Alt alleles 17; Ref alleles 3; Amb alleles 3
hCoV-19/Thailand/CU-SI2010940-NT/2020|EPI_ISL_1296448|2020-03-30,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI205717-TS/2020|EPI_ISL_1296451|2020-03-18,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2013364-NT/2020|EPI_ISL_1296456|2020-04-19,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI209037-NT/2020|EPI_ISL_1296458|2020-03-24,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI209039-NT/2020|EPI_ISL_1296460|2020-03-24,B.1.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI204610-NT/2020|EPI_ISL_1296461|2020-03-12,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI209040-NT/2020|EPI_ISL_1296462|2020-03-24,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok_2420/2020|EPI_ISL_455604|2020-03-13,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Nonthaburi_2472/2020|EPI_ISL_455605|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok_2488/2020|EPI_ISL_455606|2020-03-13,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok_2489/2020|EPI_ISL_455607|2020-03-13,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok_2504/2020|EPI_ISL_455608|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0254/2020|EPI_ISL_693334|2020-03-13,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0256/2020|EPI_ISL_693335|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0257/2020|EPI_ISL_693336|2020-03-14,B.1.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0258/2020|EPI_ISL_693337|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0259/2020|EPI_ISL_693338|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0260/2020|EPI_ISL_693339|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0261/2020|EPI_ISL_693340|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0262/2020|EPI_ISL_693341|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0263/2020|EPI_ISL_693342|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0264/2020|EPI_ISL_693343|2020-03-14,B.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0265/2020|EPI_ISL_693344|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0266/2020|EPI_ISL_693345|2020-03-14,B.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0267/2020|EPI_ISL_693346|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0269/2020|EPI_ISL_693347|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0270/2020|EPI_ISL_693348|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0271/2020|EPI_ISL_693349|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0272/2020|EPI_ISL_693350|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0273/2020|EPI_ISL_693351|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0274/2020|EPI_ISL_693352|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0275/2020|EPI_ISL_693353|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0276/2020|EPI_ISL_693354|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0277/2020|EPI_ISL_693355|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0278/2020|EPI_ISL_693356|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0279/2020|EPI_ISL_693357|2020-03-14,B.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0280/2020|EPI_ISL_693358|2020-03-14,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0281/2020|EPI_ISL_693359|2020-03-15,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0282/2020|EPI_ISL_693360|2020-03-15,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0283/2020|EPI_ISL_693361|2020-03-15,B.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0289/2020|EPI_ISL_693362|2020-03-15,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0290/2020|EPI_ISL_693363|2020-03-15,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0291/2020|EPI_ISL_693364|2020-03-15,B.1.1,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0292/2020|EPI_ISL_693365|2020-03-15,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0293/2020|EPI_ISL_693366|2020-03-15,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0294/2020|EPI_ISL_693367|2020-03-15,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0295/2020|EPI_ISL_693368|2020-03-15,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0296/2020|EPI_ISL_693369|2020-03-15,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0297/2020|EPI_ISL_693370|2020-03-15,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0298/2020|EPI_ISL_693371|2020-03-16,B.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0299/2020|EPI_ISL_693372|2020-03-16,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0300/2020|EPI_ISL_693373|2020-03-16,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0301/2020|EPI_ISL_693374|2020-03-16,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0302/2020|EPI_ISL_693375|2020-03-16,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0303/2020|EPI_ISL_693376|2020-03-16,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0304/2020|EPI_ISL_693377|2020-03-16,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0307/2020|EPI_ISL_693378|2020-03-16,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/Bangkok-CONI-0308/2020|EPI_ISL_693379|2020-03-16,A.6,,,,,,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
